"docid","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"101th-congress_house-bill_2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101th-congress_house-bill_3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101th-congress_house-bill_7",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101th-congress_house-bill_20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"101th-congress_house-bill_237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"101th-congress_house-bill_486",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"101th-congress_house-bill_499",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101th-congress_house-bill_644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"101th-congress_house-bill_743",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"101th-congress_house-bill_770",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"101th-congress_house-bill_908",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"101th-congress_house-bill_987",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101th-congress_house-bill_988",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"101th-congress_house-bill_1048",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101th-congress_house-bill_1109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"101th-congress_house-bill_1180",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"101th-congress_house-bill_1231",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"101th-congress_house-bill_1236",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"101th-congress_house-bill_1243",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"101th-congress_house-bill_1278",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"101th-congress_house-bill_1385",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"101th-congress_house-bill_1463",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"101th-congress_house-bill_1465",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101th-congress_house-bill_1594",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"101th-congress_house-bill_1722",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"101th-congress_house-bill_1750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"101th-congress_house-bill_2015",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"101th-congress_house-bill_2039",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101th-congress_house-bill_2061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"101th-congress_house-bill_2072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
